epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7031,1.44011,2.23442,1.53489,0.24266,0.35547,0.2557,0.14816,1.3463,2.02718,1.47993,0.000465256,0.000465256,0.000465256
2,26.7831,1.39729,1.67447,1.50771,0.44858,0.37558,0.35917,0.20517,1.31919,1.65635,1.44637,0.000932267,0.000932267,0.000932267
3,38.992,1.39471,1.58926,1.48233,0.39886,0.39278,0.3393,0.19955,1.32091,1.7319,1.4314,0.00138985,0.00138985,0.00138985
4,51.7665,1.35605,1.49651,1.44103,0.3818,0.45539,0.36508,0.20797,1.33764,1.58667,1.43925,0.00138656,0.00138656,0.00138656
5,64.3728,1.36875,1.4697,1.46638,0.52572,0.40648,0.39966,0.22586,1.32714,1.53829,1.44164,0.00137241,0.00137241,0.00137241
6,77.2849,1.35945,1.46933,1.46907,0.45112,0.43367,0.3811,0.22553,1.3531,1.57765,1.46968,0.00135826,0.00135826,0.00135826
7,88.9095,1.35214,1.38265,1.43947,0.46354,0.46396,0.43487,0.25375,1.34975,1.45091,1.45,0.00134412,0.00134412,0.00134412
8,101.353,1.33314,1.33506,1.43665,0.51608,0.41936,0.43323,0.25298,1.34652,1.51047,1.44936,0.00132997,0.00132997,0.00132997
9,113.897,1.30761,1.32075,1.41421,0.47951,0.41321,0.41272,0.23923,1.31921,1.46786,1.43174,0.00131582,0.00131582,0.00131582
10,125.671,1.29789,1.30582,1.41566,0.48655,0.45222,0.43836,0.26032,1.35258,1.39232,1.46946,0.00130168,0.00130168,0.00130168
11,137.983,1.2796,1.25996,1.39472,0.49939,0.4611,0.42312,0.2523,1.32706,1.44883,1.42876,0.00128753,0.00128753,0.00128753
12,149.621,1.25964,1.24281,1.38479,0.51892,0.44852,0.44964,0.2678,1.30543,1.36618,1.4254,0.00127338,0.00127338,0.00127338
13,161.208,1.2537,1.21331,1.37136,0.53048,0.46981,0.46031,0.27198,1.32946,1.40165,1.42901,0.00125923,0.00125923,0.00125923
14,172.743,1.24601,1.20329,1.3758,0.50263,0.46268,0.4285,0.25567,1.33549,1.50159,1.45277,0.00124509,0.00124509,0.00124509
15,184.281,1.24844,1.18325,1.37819,0.5676,0.46927,0.47221,0.28711,1.29947,1.34313,1.40754,0.00123094,0.00123094,0.00123094
16,195.909,1.23704,1.16455,1.36725,0.53493,0.45536,0.46611,0.2809,1.30021,1.39377,1.38899,0.00121679,0.00121679,0.00121679
17,207.493,1.22464,1.15295,1.35753,0.5584,0.48231,0.50299,0.30102,1.31158,1.31014,1.41247,0.00120265,0.00120265,0.00120265
18,219.137,1.19526,1.12115,1.33822,0.54278,0.44669,0.47266,0.28238,1.30856,1.36841,1.41104,0.0011885,0.0011885,0.0011885
19,230.62,1.20202,1.12519,1.35294,0.54233,0.47351,0.46768,0.28741,1.28211,1.32298,1.40058,0.00117435,0.00117435,0.00117435
20,242.195,1.21539,1.11115,1.3588,0.55917,0.45576,0.4737,0.27976,1.29668,1.37014,1.39116,0.00116021,0.00116021,0.00116021
21,253.767,1.20222,1.10594,1.33085,0.49772,0.48798,0.45736,0.26401,1.33827,1.47732,1.41955,0.00114606,0.00114606,0.00114606
22,265.373,1.17723,1.08571,1.33398,0.56083,0.46779,0.47633,0.28005,1.3159,1.34777,1.42113,0.00113191,0.00113191,0.00113191
23,276.919,1.17511,1.07628,1.32258,0.58096,0.46648,0.50016,0.29429,1.33,1.33746,1.42752,0.00111776,0.00111776,0.00111776
24,288.581,1.16508,1.0454,1.30745,0.54935,0.44795,0.45905,0.2751,1.31031,1.34317,1.42136,0.00110362,0.00110362,0.00110362
25,300.175,1.15699,1.04443,1.31231,0.51478,0.47107,0.48011,0.29341,1.30546,1.3162,1.41339,0.00108947,0.00108947,0.00108947
26,311.919,1.14837,1.033,1.30746,0.54727,0.49635,0.48949,0.29371,1.28446,1.31788,1.39145,0.00107532,0.00107532,0.00107532
27,323.552,1.15827,1.0148,1.3159,0.57565,0.44022,0.47484,0.28935,1.29518,1.38523,1.38572,0.00106118,0.00106118,0.00106118
28,335.169,1.16427,1.02564,1.31886,0.56037,0.4353,0.46678,0.28482,1.3234,1.39108,1.43039,0.00104703,0.00104703,0.00104703
29,346.84,1.16804,1.04021,1.32651,0.53281,0.46453,0.47698,0.28839,1.29489,1.32677,1.38533,0.00103288,0.00103288,0.00103288
30,358.548,1.14964,1.02083,1.30583,0.57809,0.46587,0.47928,0.28918,1.30684,1.36455,1.39351,0.00101873,0.00101873,0.00101873
31,370.095,1.14476,0.98054,1.28428,0.62074,0.4667,0.51798,0.30994,1.2905,1.25172,1.40633,0.00100459,0.00100459,0.00100459
32,381.561,1.09957,0.951,1.28866,0.60238,0.43766,0.49525,0.2958,1.28908,1.29465,1.41305,0.00099044,0.00099044,0.00099044
33,392.984,1.10543,0.93407,1.2666,0.55246,0.48426,0.48576,0.28819,1.29692,1.30754,1.41517,0.000976293,0.000976293,0.000976293
34,404.422,1.11113,0.95441,1.27838,0.57408,0.44258,0.49421,0.30239,1.29932,1.28914,1.42019,0.000962146,0.000962146,0.000962146
35,415.848,1.11035,0.9444,1.26787,0.56478,0.4914,0.51284,0.31023,1.27264,1.29522,1.3797,0.000947999,0.000947999,0.000947999
36,427.387,1.08123,0.91353,1.25756,0.58071,0.49099,0.50277,0.30482,1.28142,1.2879,1.37773,0.000933851,0.000933851,0.000933851
37,438.816,1.08017,0.91946,1.2661,0.57043,0.47634,0.49155,0.29827,1.29717,1.35513,1.40748,0.000919704,0.000919704,0.000919704
38,450.375,1.08445,0.91699,1.24983,0.57163,0.46908,0.48582,0.29394,1.30725,1.32543,1.41565,0.000905557,0.000905557,0.000905557
39,461.789,1.08201,0.93527,1.26105,0.57729,0.48144,0.49978,0.30376,1.29383,1.25508,1.4185,0.00089141,0.00089141,0.00089141
